level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3500	5000	-1	
2	1	1	0	0	0	3053	116	206	24	-1	
3	1	1	1	0	0	3053	116	206	24	-1	
4	1	1	1	1	0	3053	116	206	24	-1	
5	1	1	1	1	1	3053	116	95	24	95	Page
5	1	1	1	1	2	3162	116	13	18	90	1
5	1	1	1	1	3	3193	116	35	18	90	of
5	1	1	1	1	4	3236	116	21	18	96	2
2	1	2	0	0	0	2880	181	346	20	-1	
3	1	2	1	0	0	2880	181	346	20	-1	
4	1	2	1	1	0	2880	181	346	20	-1	
5	1	2	1	1	1	2880	181	346	20	82	enbridgegas.com
2	1	3	0	0	0	327	145	2691	88	-1	
3	1	3	1	0	0	327	145	2691	88	-1	
4	1	3	1	1	0	327	145	2183	65	-1	
5	1	3	1	1	1	327	145	651	54	92	ENBRIDGE
5	1	3	1	1	2	1486	194	303	16	34	ae
5	1	3	1	1	3	1987	181	64	16	93	For
5	1	3	1	1	4	2063	181	181	20	72	inquiries:
5	1	3	1	1	5	2258	181	252	16	90	1-877-362-7434
4	1	3	1	2	0	1987	212	1031	21	-1	
5	1	3	1	2	1	1987	212	107	16	92	Make
5	1	3	1	2	2	2106	212	198	21	91	Payments
5	1	3	1	2	3	2316	212	50	16	95	to:
5	1	3	1	2	4	2378	212	52	16	95	PO
5	1	3	1	2	5	2442	212	60	16	95	Box
5	1	3	1	2	6	2512	212	60	16	96	644
5	1	3	1	2	7	2584	212	212	21	87	Scarborough,
5	1	3	1	2	8	2808	212	52	16	92	ON
5	1	3	1	2	9	2874	212	74	16	85	M1K
5	1	3	1	2	10	2958	212	60	16	86	5H1
2	1	4	0	0	0	317	212	2020	53	-1	
3	1	4	1	0	0	317	212	2020	53	-1	
4	1	4	1	1	0	317	212	363	24	-1	
5	1	4	1	1	1	317	212	70	20	77	isfe
5	1	4	1	1	2	402	212	111	20	85	Takes
5	1	4	1	1	3	525	212	155	24	82	Energy:
4	1	4	1	2	0	1987	244	350	21	-1	
5	1	4	1	2	1	1987	244	175	21	94	Enbridge
5	1	4	1	2	2	2174	244	78	16	95	Gas
5	1	4	1	2	3	2267	244	70	16	95	Inc.
2	1	5	0	0	0	519	407	2228	51	-1	
3	1	5	1	0	0	519	407	2228	51	-1	
4	1	5	1	1	0	521	407	1752	23	-1	
5	1	5	1	1	1	521	411	130	19	91	CASA
5	1	5	1	1	2	665	411	91	19	90	DEL
5	1	5	1	1	3	768	411	161	19	86	ZOTTO
5	1	5	1	1	4	941	411	296	19	95	APARTMENT
5	1	5	1	1	5	1898	407	173	18	96	Service
5	1	5	1	1	6	2083	407	190	18	95	Address
4	1	5	1	2	0	519	437	2228	21	-1	
5	1	5	1	2	1	519	440	78	18	51	9301
5	1	5	1	2	2	620	440	265	18	77	LAVVFRENCE
5	1	5	1	2	3	900	440	95	18	95	AVE
5	1	5	1	2	4	1007	440	45	18	66	vv
5	1	5	1	2	5	1898	437	91	19	95	3010
5	1	5	1	2	6	2003	437	208	19	96	DUFFERIN
5	1	5	1	2	7	2225	437	52	19	93	ST
5	1	5	1	2	8	2285	437	213	19	89	TORONTO
5	1	5	1	2	9	2510	437	60	19	92	ON
5	1	5	1	2	10	2584	437	84	19	85	M6B
5	1	5	1	2	11	2678	437	69	19	85	4J5
2	1	6	0	0	0	519	469	2505	97	-1	
3	1	6	1	0	0	519	469	2505	97	-1	
4	1	6	1	1	0	519	469	550	19	-1	
5	1	6	1	1	1	519	469	235	19	89	TORONTO
5	1	6	1	1	2	768	469	68	19	94	ON
5	1	6	1	1	3	867	469	101	19	89	MGA
5	1	6	1	1	4	982	469	87	19	81	1C3
4	1	6	1	2	0	1896	512	1085	19	-1	
5	1	6	1	2	1	1896	512	194	19	93	Account
5	1	6	1	2	2	2104	512	181	19	94	Number
5	1	6	1	2	3	2790	512	70	19	94	Bill
5	1	6	1	2	4	2876	512	105	19	95	Date
4	1	6	1	3	0	2788	544	236	22	-1	
5	1	6	1	3	1	2788	544	66	19	94	Jun
5	1	6	1	3	2	2866	544	54	22	75	0S,
5	1	6	1	3	3	2934	544	90	19	95	2020
2	1	7	0	0	0	1898	544	317	19	-1	
3	1	7	1	0	0	1898	544	317	19	-1	
4	1	7	1	1	0	1898	544	317	19	-1	
5	1	7	1	1	1	1898	544	44	19	59	O03
5	1	7	1	1	2	1954	544	39	19	93	01
5	1	7	1	1	3	2011	544	44	19	92	72
5	1	7	1	1	4	2069	544	107	19	85	34691
5	1	7	1	1	5	2195	544	20	19	84	G
2	1	8	0	0	0	321	696	2454	87	-1	
3	1	8	1	0	0	321	696	2454	87	-1	
4	1	8	1	1	0	321	696	2454	85	-1	
5	1	8	1	1	1	321	696	178	85	8	[s+
5	1	8	1	1	2	1775	718	117	41	44	ne
5	1	8	1	1	3	1972	730	143	22	94	HOW
5	1	8	1	1	4	2131	730	177	22	95	MUCH
5	1	8	1	1	5	2328	730	124	22	95	GAS
5	1	8	1	1	6	2470	730	100	22	95	DID
5	1	8	1	1	7	2590	730	12	22	94	I
5	1	8	1	1	8	2625	730	150	22	95	USE?
4	1	8	1	2	0	745	744	1133	39	-1	
5	1	8	1	2	1	745	753	175	23	95	WHAT
5	1	8	1	2	2	939	753	82	23	96	DO
5	1	8	1	2	3	1044	753	12	23	81	I
5	1	8	1	2	4	1077	753	167	23	95	OWE?
